('Tricycle', 'Truck (Unknown)'),Head on,1
('Tricycle', 'Truck (Unknown)'),Hit object in road,0
('Tricycle', 'Truck (Unknown)'),Hit parked vehicle,0
('Tricycle', 'Truck (Unknown)'),Hit pedestrian,0
('Tricycle', 'Truck (Unknown)'),Other (see description),1
('Tricycle', 'Truck (Unknown)'),Overturned vehicle,0
('Tricycle', 'Truck (Unknown)'),Rear end,0
('Tricycle', 'Truck (Unknown)'),Right angle,0
('Tricycle', 'Truck (Unknown)'),Side swipe,0
('Tricycle', 'Truck (Unknown)'),,0
('Pedestrian', 'Truck (Pick-Up)'),Angle (Other),0
('Pedestrian', 'Truck (Pick-Up)'),Head on,0
('Pedestrian', 'Truck (Pick-Up)'),Hit object in road,0
('Pedestrian', 'Truck (Pick-Up)'),Hit parked vehicle,0
('Pedestrian', 'Truck (Pick-Up)'),Hit pedestrian,1
('Pedestrian', 'Truck (Pick-Up)'),Other (see description),0
('Pedestrian', 'Truck (Pick-Up)'),Overturned vehicle,0
('Pedestrian', 'Truck (Pick-Up)'),Rear end,0
('Pedestrian', 'Truck (Pick-Up)'),Right angle,0
('Pedestrian', 'Truck (Pick-Up)'),Side swipe,0
('Pedestrian', 'Truck (Pick-Up)'),,0
('Bicycle', 'Van'),Angle (Other),0
('Bicycle', 'Van'),Head on,0
('Bicycle', 'Van'),Hit object in road,0
('Bicycle', 'Van'),Hit parked vehicle,0
('Bicycle', 'Van'),Hit pedestrian,0
('Bicycle', 'Van'),Other (see description),0
('Bicycle', 'Van'),Overturned vehicle,0
('Bicycle', 'Van'),Rear end,0
('Bicycle', 'Van'),Right angle,0
('Bicycle', 'Van'),Side swipe,0
('Bicycle', 'Van'),,1
('Armored Car', 'Motorcycle'),Angle (Other),0
('Armored Car', 'Motorcycle'),Head on,0
('Armored Car', 'Motorcycle'),Hit object in road,0
('Armored Car', 'Motorcycle'),Hit parked vehicle,0
('Armored Car', 'Motorcycle'),Hit pedestrian,0
('Armored Car', 'Motorcycle'),Other (see description),0
('Armored Car', 'Motorcycle'),Overturned vehicle,0
('Armored Car', 'Motorcycle'),Rear end,0
('Armored Car', 'Motorcycle'),Right angle,1
('Armored Car', 'Motorcycle'),Side swipe,0
('Armored Car', 'Motorcycle'),,0
('SUV', 'Truck (Articulated)'),Angle (Other),0
('SUV', 'Truck (Articulated)'),Head on,0
('SUV', 'Truck (Articulated)'),Hit object in road,0
('SUV', 'Truck (Articulated)'),Hit parked vehicle,0
('SUV', 'Truck (Articulated)'),Hit pedestrian,0
('SUV', 'Truck (Articulated)'),Other (see description),0
('SUV', 'Truck (Articulated)'),Overturned vehicle,0
('SUV', 'Truck (Articulated)'),Rear end,0
('SUV', 'Truck (Articulated)'),Right angle,0
('SUV', 'Truck (Articulated)'),Side swipe,0
('SUV', 'Truck (Articulated)'),,1
('', 'Truck (Unknown)'),Angle (Other),0
('', 'Truck (Unknown)'),Head on,0
('', 'Truck (Unknown)'),Hit object in road,0
('', 'Truck (Unknown)'),Hit parked vehicle,0
('', 'Truck (Unknown)'),Hit pedestrian,0
('', 'Truck (Unknown)'),Other (see description),0
('', 'Truck (Unknown)'),Overturned vehicle,0
('', 'Truck (Unknown)'),Rear end,0
('', 'Truck (Unknown)'),Right angle,0
('', 'Truck (Unknown)'),Side swipe,1
('', 'Truck (Unknown)'),,0
('SUV', 'Truck (Rigid)'),Angle (Other),0
('SUV', 'Truck (Rigid)'),Head on,0
('SUV', 'Truck (Rigid)'),Hit object in road,1
('SUV', 'Truck (Rigid)'),Hit parked vehicle,0
('SUV', 'Truck (Rigid)'),Hit pedestrian,0
('SUV', 'Truck (Rigid)'),Other (see description),0
('SUV', 'Truck (Rigid)'),Overturned vehicle,0
('SUV', 'Truck (Rigid)'),Rear end,0
('SUV', 'Truck (Rigid)'),Right angle,0
('SUV', 'Truck (Rigid)'),Side swipe,0
('SUV', 'Truck (Rigid)'),,0
('Car', 'Van'),Angle (Other),0
('Car', 'Van'),Head on,0
('Car', 'Van'),Hit object in road,0
('Car', 'Van'),Hit parked vehicle,0
('Car', 'Van'),Hit pedestrian,0
('Car', 'Van'),Other (see description),0
('Car', 'Van'),Overturned vehicle,0
('Car', 'Van'),Rear end,0
('Car', 'Van'),Right angle,0
('Car', 'Van'),Side swipe,1
('Car', 'Van'),,0
('SUV', 'Truck (Pick-Up)'),Angle (Other),0
('SUV', 'Truck (Pick-Up)'),Head on,0
('SUV', 'Truck (Pick-Up)'),Hit object in road,0
('SUV', 'Truck (Pick-Up)'),Hit parked vehicle,0
('SUV', 'Truck (Pick-Up)'),Hit pedestrian,0
('SUV', 'Truck (Pick-Up)'),Other (see description),0
('SUV', 'Truck (Pick-Up)'),Overturned vehicle,0
('SUV', 'Truck (Pick-Up)'),Rear end,0
('SUV', 'Truck (Pick-Up)'),Right angle,0
('SUV', 'Truck (Pick-Up)'),Side swipe,1
('SUV', 'Truck (Pick-Up)'),,0
('Bus', 'Truck (Rigid)'),Angle (Other),0
('Bus', 'Truck (Rigid)'),Head on,1
('Bus', 'Truck (Rigid)'),Hit object in road,0
('Bus', 'Truck (Rigid)'),Hit parked vehicle,0
('Bus', 'Truck (Rigid)'),Hit pedestrian,0
('Bus', 'Truck (Rigid)'),Other (see description),0
('Bus', 'Truck (Rigid)'),Overturned vehicle,0
('Bus', 'Truck (Rigid)'),Rear end,0
('Bus', 'Truck (Rigid)'),Right angle,0
('Bus', 'Truck (Rigid)'),Side swipe,0
('Bus', 'Truck (Rigid)'),,0
('Jeepney', 'Jeepney'),Angle (Other),0
('Jeepney', 'Jeepney'),Head on,0
('Jeepney', 'Jeepney'),Hit object in road,0
('Jeepney', 'Jeepney'),Hit parked vehicle,0
('Jeepney', 'Jeepney'),Hit pedestrian,1
('Jeepney', 'Jeepney'),Other (see description),0
('Jeepney', 'Jeepney'),Overturned vehicle,0
('Jeepney', 'Jeepney'),Rear end,0
('Jeepney', 'Jeepney'),Right angle,0
('Jeepney', 'Jeepney'),Side swipe,0
('Jeepney', 'Jeepney'),,0
('Car', 'Truck (Fire)'),Angle (Other),0
('Car', 'Truck (Fire)'),Head on,0
('Car', 'Truck (Fire)'),Hit object in road,0
('Car', 'Truck (Fire)'),Hit parked vehicle,0
('Car', 'Truck (Fire)'),Hit pedestrian,0
('Car', 'Truck (Fire)'),Other (see description),0
('Car', 'Truck (Fire)'),Overturned vehicle,0
('Car', 'Truck (Fire)'),Rear end,0
('Car', 'Truck (Fire)'),Right angle,0
('Car', 'Truck (Fire)'),Side swipe,1
('Car', 'Truck (Fire)'),,0
('Bicycle', 'Motorcycle'),Angle (Other),1
('Bicycle', 'Motorcycle'),Head on,0
('Bicycle', 'Motorcycle'),Hit object in road,0
('Bicycle', 'Motorcycle'),Hit parked vehicle,0
('Bicycle', 'Motorcycle'),Hit pedestrian,0
('Bicycle', 'Motorcycle'),Other (see description),0
('Bicycle', 'Motorcycle'),Overturned vehicle,0
('Bicycle', 'Motorcycle'),Rear end,0
('Bicycle', 'Motorcycle'),Right angle,0
('Bicycle', 'Motorcycle'),Side swipe,0
('Bicycle', 'Motorcycle'),,0
('Truck (Pick-Up)', 'Truck (Rigid)'),Angle (Other),0
('Truck (Pick-Up)', 'Truck (Rigid)'),Head on,1
('Truck (Pick-Up)', 'Truck (Rigid)'),Hit object in road,0
('Truck (Pick-Up)', 'Truck (Rigid)'),Hit parked vehicle,0
('Truck (Pick-Up)', 'Truck (Rigid)'),Hit pedestrian,0
('Truck (Pick-Up)', 'Truck (Rigid)'),Other (see description),0
('Truck (Pick-Up)', 'Truck (Rigid)'),Overturned vehicle,0
('Truck (Pick-Up)', 'Truck (Rigid)'),Rear end,0
('Truck (Pick-Up)', 'Truck (Rigid)'),Right angle,0
('Truck (Pick-Up)', 'Truck (Rigid)'),Side swipe,0
('Truck (Pick-Up)', 'Truck (Rigid)'),,0
('', 'Bus'),Angle (Other),0
('', 'Bus'),Head on,0
('', 'Bus'),Hit object in road,0
('', 'Bus'),Hit parked vehicle,0
('', 'Bus'),Hit pedestrian,0
('', 'Bus'),Other (see description),0
('', 'Bus'),Overturned vehicle,1
('', 'Bus'),Rear end,0
('', 'Bus'),Right angle,0
('', 'Bus'),Side swipe,0
('', 'Bus'),,0
('Car', 'Truck (Articulated)'),Angle (Other),0
('Car', 'Truck (Articulated)'),Head on,1
('Car', 'Truck (Articulated)'),Hit object in road,0
('Car', 'Truck (Articulated)'),Hit parked vehicle,0
('Car', 'Truck (Articulated)'),Hit pedestrian,0
('Car', 'Truck (Articulated)'),Other (see description),0
('Car', 'Truck (Articulated)'),Overturned vehicle,0
('Car', 'Truck (Articulated)'),Rear end,0
('Car', 'Truck (Articulated)'),Right angle,0
('Car', 'Truck (Articulated)'),Side swipe,0
('Car', 'Truck (Articulated)'),,0
