record_id,Make,Model,Damage,Defect,Loading,Maneuver,driverVehicle_id,Plate number,Vehicle type,Engine number,Chassis number,Classification,Insurance details,same
103b47c8-066b-47df-8f68-6d4c4edc3b0e,Black Yahama Mio,,,None,Legal,,4be48e4d-487e-490b-a512-238168d5a170,MS 51512,Motorcycle,PA040C000F0251232,40C-209607,Private,,103b47c8-066b-47df-8f68-6d4c4edc3b0e
1085a82f-19b2-4931-bfda-da76f2b231bb,Honda,,Front,None,Legal,Going ahead,ceb5e19e-b5c6-4aa3-a7f2-964821d1fbec,MA 92300,Motorcycle,,,Private,,1085a82f-19b2-4931-bfda-da76f2b231bb
10a55461-d03c-41d1-8e7a-0d755b2bfa63,TEN WHEELER  DUMP TRUCK,,,Brakes,,,09bddf23-065f-40f2-92fb-12688ed2b489,AFA 7932,Truck (Rigid),,,Private,,10a55461-d03c-41d1-8e7a-0d755b2bfa63
10a55461-d03c-41d1-8e7a-0d755b2bfa63,BAJAJ 100  ,,,,,,502a9269-731e-415f-9e3f-d43dc6ccddfa,,Motorcycle,,,Private,,10a55461-d03c-41d1-8e7a-0d755b2bfa63
119c6da8-5cc7-471c-8c4c-ac475242eed7,Hyundai,Hyundai Grace UV,Front,None,Legal,Going ahead,14d91642-46eb-413d-b0d0-c40844b4c727,XDD176,Car,,,Private,,119c6da8-5cc7-471c-8c4c-ac475242eed7
119c6da8-5cc7-471c-8c4c-ac475242eed7,Honda,Honda wave 110,Multiple,None,Legal,Overtaking,18c2413e-e7db-45ab-9196-7f72b3c998ab,7327JR,Motorcycle,,,Private,,119c6da8-5cc7-471c-8c4c-ac475242eed7
11aef931-9e2a-4681-ba91-0a42668cbc5c,"CPI Kimber 10, Motorcycle ",,Multiple,None,,Going ahead,16cf5dab-f14c-4c70-81f0-f5f83ce4f933,no,Motorcycle,,,Private,,11aef931-9e2a-4681-ba91-0a42668cbc5c
11aef931-9e2a-4681-ba91-0a42668cbc5c,Isuzu jitney ,,Front,None,,Going ahead,9374f75a-db22-4a23-b98f-e104dbee4f5a,DKT 480 ,Jeepney,,,Public / For-Hire,,11aef931-9e2a-4681-ba91-0a42668cbc5c
11ffa3a9-b6c7-47b9-aa5c-5cb3cce5b110,,,,,,,4dabbf02-a3ee-4ead-bbfa-3e8c915e2904,,Motorcycle,,,Private,,11ffa3a9-b6c7-47b9-aa5c-5cb3cce5b110
11ffa3a9-b6c7-47b9-aa5c-5cb3cce5b110,Isuzu Giga,,,,,,39bb281a-d362-4892-bc4a-81f89f9d13f9,,Truck (Rigid),,,Public / For-Hire,,11ffa3a9-b6c7-47b9-aa5c-5cb3cce5b110
1209e176-7556-481d-b6fa-dac309799d60,RUSI motorcycle ,,Front,None,,Going ahead,e98c56d0-e9f8-4a34-83a1-4ac2fb9e05af,no plate attached,Tricycle,,,Private,,1209e176-7556-481d-b6fa-dac309799d60
1209e176-7556-481d-b6fa-dac309799d60,TOYOTA Hi-Ace ,,Front,None,,Going ahead,8bae7a8a-eb47-457a-a362-9824350d3633,NDO-9791 ,Van,,,Private,,1209e176-7556-481d-b6fa-dac309799d60
12cdb51f-65d8-436f-b7aa-3e39e55b828c,Honda  RS ,,,,,,5f394ea0-bf71-4f37-9f18-3806bc261bd6,,Motorcycle,,MH1KC347XJK0043876 ,Private,,12cdb51f-65d8-436f-b7aa-3e39e55b828c
12cdb51f-65d8-436f-b7aa-3e39e55b828c,Rusi ,,,,,,d6c20e6f-69e4-495c-ba88-0341a00e9e79,,Motorcycle,,RWCLXPGA9H9410584,Private,,12cdb51f-65d8-436f-b7aa-3e39e55b828c
1309a3ec-f760-4c63-923b-6dce41425a68,isuzu,forward,None,None,Legal,Going ahead,3ec4c278-c206-46c9-965d-f2b3fd7462ea,"RHK 981,",Truck (Unknown),not indicated in the report,not indicated in the report,Public / For-Hire,not indicated in the report,1309a3ec-f760-4c63-923b-6dce41425a68
1309a3ec-f760-4c63-923b-6dce41425a68,Yamaha ,Sniper,None,None,Legal,Going ahead,7f333653-519d-48cf-a5ab-f972fdf27322,no plate,Motorcycle,not indicated in the report,not indicated in the report,Private,not indicated in the report,1309a3ec-f760-4c63-923b-6dce41425a68
13289323-e74b-4d18-9e50-e30ef51156db,,,Multiple,,,,076d6575-5763-4cfa-9879-bae04e586cbe,,Motorcycle,,,Private,,13289323-e74b-4d18-9e50-e30ef51156db
13289323-e74b-4d18-9e50-e30ef51156db,,,Front,,,,500a7c2b-3e30-4d70-8ff3-2da16a5a3f44,,Truck (Articulated),,,Private,,13289323-e74b-4d18-9e50-e30ef51156db
139a327e-fa2d-44eb-a6a4-92944bb65645, YAMAHA RS10,,,,,Going ahead,c165e4fa-56c0-4648-82fd-f6314b128b87,", NO PLATE NUMBER ATTACH",Motorcycle,,,Private,,139a327e-fa2d-44eb-a6a4-92944bb65645
13e1e00f-6cd6-40aa-b924-761548201b19,,,,,,,ece897b0-f31d-496c-968e-e905e8c0b4ce,DELA ROSA - ACM 1355,Bus,,,,,13e1e00f-6cd6-40aa-b924-761548201b19
13e1e00f-6cd6-40aa-b924-761548201b19,,,,,,,42941ec8-10a2-43d9-a414-cec143b62481, 6345 EE,Motorcycle,,,,,13e1e00f-6cd6-40aa-b924-761548201b19
14094787-bbd3-4bb7-890b-7af04c8598e2,Fuso Ten Wheeler Truck,,,,,,ea5ffdc2-c542-4580-a303-1623f1a51f5b,ABK 7439,Truck (Rigid),6D40-S31968,FV500U7510030,Private,,14094787-bbd3-4bb7-890b-7af04c8598e2
14094787-bbd3-4bb7-890b-7af04c8598e2,,,,,,,951aafbd-c007-40f3-a583-31f3dcea44af,,Motorcycle,XRM 16E264558,XRM 16264558,Private,,14094787-bbd3-4bb7-890b-7af04c8598e2
14546aa5-8dc0-42ea-876e-4ed9e327ae45,Izusu Jitney,,Multiple,None,,Going ahead,41635261-5425-493f-b1b3-aab29533d8aa,PLG 923.,Jeepney,,,Public / For-Hire,,14546aa5-8dc0-42ea-876e-4ed9e327ae45
14546aa5-8dc0-42ea-876e-4ed9e327ae45,"Fuso, Tractor ",,Multiple,Brakes,,Merging,28159d62-cff5-4299-8283-3c33f536173f,PUZ 600,Truck (Unknown),,,Private,,14546aa5-8dc0-42ea-876e-4ed9e327ae45
14546aa5-8dc0-42ea-876e-4ed9e327ae45,Mitsubishi L300,,Multiple,,,Merging,a5746b82-9542-476c-bf7f-b8a3d17b98c7,A5 W75,Van,,,Private,,14546aa5-8dc0-42ea-876e-4ed9e327ae45
14ac4704-94af-4339-aa9f-21a4708773e0,HONDA FS150,2016,Multiple,None,Legal,Going ahead,758214ca-0be6-473a-b180-1f6f6b79f5c9,NG-28421,Motorcycle,KB11E1039714,MH1KB1117GK045476,Private,,14ac4704-94af-4339-aa9f-21a4708773e0
15042877-7aba-4cee-9149-aa21631f2067,Mitsubishi Lancer Sedan,,None,,,Overtaking,20db9bee-8b69-482f-bacb-e2437152bddc,no,Car,,,Private,,15042877-7aba-4cee-9149-aa21631f2067
151477dd-687d-4e46-b1ff-fdf7f4dafb8a,,TOYOTA HI-ACE COMMUTER VAN WITH MV FILE NO. 0401-615749 ,,,,,b110188a-0ee4-4057-9384-b7580d6490e6,,Car,,,Private,,151477dd-687d-4e46-b1ff-fdf7f4dafb8a
152cf2e4-8157-452f-8445-8fa1a0fd5734,Multicab Jitney,,,,,,29b3fdc2-438f-480e-96bf-3c19c0ab6e7b,090108,Jeepney,,,Private,,152cf2e4-8157-452f-8445-8fa1a0fd5734
1707aa5e-7ff1-4d70-b086-88addcb26ec7,toyota,2016,Front,None,Legal,Going ahead,7750cb1f-1246-4425-9a5a-959cb3260b72,WWO934,Van,2KDA172940,JTFJSQ2P700034405,Private,,1707aa5e-7ff1-4d70-b086-88addcb26ec7
1707aa5e-7ff1-4d70-b086-88addcb26ec7,HONDA,,Multiple,Tires,Legal,Left turn,40f88d26-3af0-4e06-bb06-3dbce4bc9083,1954MH,Tricycle,,,Private,,1707aa5e-7ff1-4d70-b086-88addcb26ec7
17108f38-41bf-4da7-aa52-8c3cd981be5d,Suzuki  ,GD,Multiple,None,Unsafe Load,Going ahead,e7a1de62-6215-45e2-a947-d20ec4c35d33,No plate number,Motorcycle,,,Private,,17108f38-41bf-4da7-aa52-8c3cd981be5d
1877650d-1449-4f45-93fd-5e5061d36a62,Toyota ,Toyota AVANZA,Rear,None,Legal,Going ahead,3c9f618c-baeb-4b8a-a4cc-bcff0b2f11ef,,Car,INRF443706,MHKM5EE2FJK012190,Private,,1877650d-1449-4f45-93fd-5e5061d36a62
1877650d-1449-4f45-93fd-5e5061d36a62,Toyota ,Toyota Hilux 2.5L,Front,None,,Going ahead,7a5a8a8e-ae27-410d-a4da-97a283ac326d,KGG 150,Truck (Pick-Up),2DK5542212,MR0ER39G807542517,Private,,1877650d-1449-4f45-93fd-5e5061d36a62
